repo	score	disk_kb	lang	stars	description
rohitjha/brainfuck	8	31	C	5	An interpreter for the Brainfuck programming language, written in C.
SinclairQL/level9	8	279	C	5	Level 9 Interpreter v5.1
subarnop/Daisy	8	416	C	5	Simple arithmetic and logical Interpreter.
tcort/edgar	8	220	C	5	an interpreter for the edgar programming language
telephil/sarcasm	8	427	C	5	really simple scheme language interpreter
uliwitness/Leonie	8	572	C	5	Bytecode interpreter and primitive code generation backend for a HyperTalk-like programming language named Hammer.
willianscsilva/interpreter	8	515	C	5	The Maverick Programming Language
AlexMoroz/esp32-lua-interpreter	8	262	C	4	Esp32 Lua project
almk277/ROSE	8	244	C	4	A little virtual machine with byte-code interpreter and assembler.
amiremohamadi/rePython	8	25	C	4	ReBuild a minimal python for fun :)
kevyonan/Urhay-Interpreter	8	72	C	4	a small, educational AST interpreter that implements a dynamically-typed, C-like language.
avorobey/sketch	8	205	C	4	A toy Scheme interpreter written in C
Beneking102/benedictum	8	19	C	4	A Latin-themed esoteric programming language where source code reads as prayer
camburn/EmbeddedPython	8	6	C	4	An example of an embedded python interpreter in a C program.
carzil/brainfuck-jit	8	32	C	4	Optimizing interpreter for Brainfuck
catseye/OpenZz	8	450	C	4	MIRROR of https://codeberg.org/catseye/OpenZz : Cat's Eye Technologies' fork of OpenZz, a dynamic (self-modifying) gramm
crimsonwoods/mirb-stm32f4discovery	8	452	C	4	mirb (an interpreter of mruby) port to STM32F4 Discovery board.
dbetz/notc	8	54	C	4	This is a simple interpreter with c-like syntax.
dchest/CocoaScheme	8	268	C	4	Unfinished Scheme<->Objective-C bridge using s7 Scheme interpreter.
devyn/flat	8	104	C	4	Concatenative language interpreter written in C
diego-miranda-ng/portugol_interpreter	8	388	C	4	Este interpretador de PORTUGOL está sendo construído com o intuito de auxiliar alunos iniciantes de programação no estud
Dnawrkshp/liblua-5.1.4-ps3	8	133	C	4	Lua interpreter for the PlayStation 3. Credits to https://github.com/jonlimle/LuaPlayerPS3.     https://www.lua.org/
duckinator/ooc-in-ruby	8	344	C	4	ooc interpreter in ruby. Purely for shits and giggles and possibly experimentation. Don't assume it's entirely compliant
etienne-p/Pd_Scheme	8	571	C	4	Embedding a Scheme interpreter in Pure-Data
Flakheads/CraneFlak	8	21	C	4	A version of the Brain-Flak interpreter written in C. Does not have all the bells and whistles the Ruby interpreter has.
fschaefer/bas-for-little-wire	8	388	C	4	Bas is an interpreter for the classic dialect of the programming language BASIC extended for use with the "Little-Wire -
gcatlin/loxy	8	38	C	4	Lox in C (A Tree-walk Interpreter)
gerdr/m0	8	160	C	4	M0 interpreter
glguida/lac	8	316	C	4	a LISP interpreter
grouzen/fflisp	8	144	C	4	Simple LISP 1.5 interpreter written in C
gyom/schemeInterpreterC	8	136	C	4	toy implementation of a Scheme interpreter written in C
karlredgate/forth	8	69	C	4	A toy Forth interpreter to demonstrate how Forth works.
indianakernick/Expr-JIT	8	18	C	4	I named it JIT but it's actually a stack-based bytecode interpreter!
lelanthran/csl	8	152	C	4	Embeddable language for C programs.
LucasMW/bfi	8	11	C	4	Brainfuck Interpreter
majioa/refal6	8	700	C	4	REFAL6 Interpreter and byte-compiler
MattRyder/interpreter	8	354	C	4	A Ruby interpreter written in C, as part of my CS degree.
mushrom/gojira	8	412	C	4	A nifty scheme interpreter
nevyn/padlua	8	396	C	4	[CocoaTouch] Interactive Lua interpreter for iPad
nih-at/ttftot42	8	479	C	4	Use TrueType fonts with PostScript interpreters with TrueType rasterizers. (deprecated)
